¾ó±¼,ÀÎ½Ä Àå ¼ö, ÇÐ½À Àå ¼ö,È®·ü1,È®·ü2,È®·ü3,È®·ü4
¾ó±¼ 1,1,10,5.809895873,8.535954887,8.628424557,77.02572468
¾ó±¼ 1,1,20,2.767452437,4.594421175,5.418636635,87.21948975
¾ó±¼ 1,1,30,1.811883951,2.990278294,3.689047198,91.50879056
¾ó±¼ 1,1,40,1.243034385,1.944595886,3.931413465,92.88095626
¾ó±¼ 1,2,10,5.82988571,7.502878078,8.256931957,78.41030426
¾ó±¼ 1,2,10,5.677610427,7.475865056,8.014225538,78.83229898
¾ó±¼ 1,2,20,2.895992789,4.72395382,5.429370658,86.95068273
¾ó±¼ 1,2,20,3.198793209,4.218610014,5.555815182,87.0267816
¾ó±¼ 1,2,30,2.015849881,3.281470297,3.560061314,91.14261851
¾ó±¼ 1,2,30,1.853330874,3.447561386,3.88072323,90.81838451
¾ó±¼ 1,2,40,1.434666264,2.407438672,4.339078901,91.81881616
¾ó±¼ 1,2,40,1.31471575,2.036573146,3.717916517,92.93079459
¾ó±¼ 1,4,10,5.73274105,8.137761299,8.334051359,77.79544629
¾ó±¼ 1,4,10,6.547679273,8.480482788,8.148277793,76.82356015
¾ó±¼ 1,4,10,5.572662717,7.997858296,8.334105052,78.09537394
¾ó±¼ 1,4,10,5.630731233,7.982108108,8.031797941,78.35536272
¾ó±¼ 1,4,20,3.426038176,4.949659102,5.2815557,86.34274702
¾ó±¼ 1,4,20,3.449396005,5.444256406,5.552282366,85.55406522
¾ó±¼ 1,4,20,2.790500397,4.594534296,5.175710563,87.43925474
¾ó±¼ 1,4,20,2.916654203,4.219014885,5.349360289,87.51497062
¾ó±¼ 1,4,30,2.095880753,3.041089065,4.054678977,90.80835121
¾ó±¼ 1,4,30,1.895784609,3.713694772,4.099318372,90.29120225
¾ó±¼ 1,4,30,2.103444689,3.179763699,3.856476918,90.86031469
¾ó±¼ 1,4,30,2.264858465,3.625881024,3.825937467,90.28332304
¾ó±¼ 1,4,40,1.51120327,2.089254943,3.780756313,92.61878547
¾ó±¼ 1,4,40,1.31471575,2.036573146,3.717916517,92.93079459
¾ó±¼ 1,4,40,1.273131272,1.915176527,3.671442103,93.1402501
¾ó±¼ 1,4,40,1.434666264,2.407438672,4.339078901,91.81881616
¾ó±¼ 1,10,10,6.05347696,8.364882369,8.808620282,76.77302039
¾ó±¼ 1,10,10,5.73274105,8.137761299,8.334051359,77.79544629
¾ó±¼ 1,10,10,6.263895026,7.498035799,8.478234087,77.75983509
¾ó±¼ 1,10,10,5.809895873,8.535954887,8.628424557,77.02572468
¾ó±¼ 1,10,10,6.547679273,8.480482788,8.148277793,76.82356015
¾ó±¼ 1,10,10,6.051611495,7.539164431,8.520573386,77.88865069
¾ó±¼ 1,10,10,6.248570705,7.712588886,8.289616494,77.74922392
¾ó±¼ 1,10,10,5.777501329,7.661873979,8.17764089,78.3829838
¾ó±¼ 1,10,10,5.82988571,7.502878078,8.256931957,78.41030426
¾ó±¼ 1,10,10,6.082563483,7.889657366,7.727058405,78.30072075
¾ó±¼ 1,10,20,2.916499224,4.349853959,5.291122088,87.44252473
¾ó±¼ 1,10,20,3.449396005,5.444256406,5.552282366,85.55406522
¾ó±¼ 1,10,20,3.08498124,4.269143648,5.60174973,87.04412538
¾ó±¼ 1,10,20,3.537460259,4.495101932,5.500694374,86.46674343
¾ó±¼ 1,10,20,2.916654203,4.219014885,5.349360289,87.51497062
¾ó±¼ 1,10,20,3.198793209,4.218610014,5.555815182,87.0267816
¾ó±¼ 1,10,20,3.234772869,4.385558322,5.386393428,86.99327538
¾ó±¼ 1,10,20,2.767452437,4.594421175,5.418636635,87.21948975
¾ó±¼ 1,10,20,2.836189366,4.179081021,5.168917684,87.81581193
