회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,회원가입 사진 장 수,로그인 사진 장 수,분류율,,,로그인 1,로그인 2,로그인 4,로그인 10
2,1,0,100,60.77501036,,,2,1,47.2782834,,2,47.2782834,45.23996995,44.81152884,46.8705636
2,1,1,100,32.17945829,,,,2,45.23996995,,4,58.58691193,58.58691193,58.29924345,60.00768757
2,1,2,100,48.96374387,,,,4,44.81152884,,10,67.71875331,73.35243253,74.80423206,73.94767281
2,1,3,100,51.68174343,,,,10,46.8705636,,20,81.57662852,84.99178721,85.70669317,83.18658968
2,1,4,100,52.38254196,,,4,1,58.58691193,,30,84.61084327,87.29871026,87.0918193,87.52196485
2,1,5,100,52.38842485,,,,2,60.16368892,,40,90.13006367,88.3311047,88.71737033,89.78838458
2,1,6,100,34.18200455,,,,4,58.29924345,,,,,,
2,1,7,100,46.89308733,,,,10,60.00768757,,,,,,
2,1,8,100,34.06404113,,,10,1,67.71875331,,,,,,
2,1,9,100,59.27277822,,,,2,73.35243253,,,,,,
,,,100,47.2782834,,,,4,74.80423206,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,10,73.94767281,,,,,,
2,2,0,100,39.88132555,,,20,1,81.57662852,,,,,,
2,2,1,100,54.39320736,,,,2,84.99178721,,,,,,
2,2,2,100,37.09354212,,,,4,85.70669317,,,,,,
2,2,3,100,34.52890804,,,,10,83.18658968,,,,,,
2,2,4,100,46.47888467,,,30,1,84.61084327,,,,,,
2,2,5,100,38.02960472,,,,2,87.29871026,,,,,,
2,2,6,100,50.52452673,,,,4,87.0918193,,,,,,
2,2,7,100,46.66112425,,,,10,87.52196485,,,,,,
2,2,8,100,57.9693391,,,40,1,90.13006367,,,,,,
2,2,9,100,46.83923696,,,,2,88.3311047,,,,,,
,,,100,45.23996995,,,,4,88.71737033,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,10,89.78838458,,,,,,
2,4,0,100,41.52666164,,,,,,,,,,,
2,4,1,100,38.80926683,,,,,,,,,,,
2,4,2,100,43.59151132,,,,,,,,,,,
2,4,3,100,52.19515497,,,,,,,,,,,
2,4,4,100,44.23861931,,,,,,,,,,,
2,4,5,100,41.08424038,,,,,,,,,,,
2,4,6,100,53.34036032,,,,,,,,,,,
2,4,7,100,44.33850088,,,,,,,,,,,
2,4,8,100,48.33628764,,,,,,,,,,,
2,4,9,100,40.65468512,,,,,,,,,,,
,,,100,44.81152884,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
2,10,0,100,47.16748578,,,,,,,,,,,
2,10,1,100,48.96523769,,,,,,,,,,,
2,10,2,100,48.66309717,,,,,,,,,,,
2,10,3,100,49.00066289,,,,,,,,,,,
2,10,4,100,45.32104353,,,,,,,,,,,
2,10,5,100,41.14797146,,,,,,,,,,,
2,10,6,100,46.07033661,,,,,,,,,,,
2,10,7,100,46.17957417,,,,,,,,,,,
2,10,8,100,46.79385262,,,,,,,,,,,
2,10,9,100,49.39637404,,,,,,,,,,,
,,,100,46.8705636,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
4,1,0,100,53.67058088,,,,,,,,,,,
4,1,1,100,65.84054898,,,,,,,,,,,
4,1,2,100,53.08260281,,,,,,,,,,,
4,1,3,100,59.93521171,,,,,,,,,,,
4,1,4,100,63.60973236,,,,,,,,,,,
4,1,5,100,52.20304086,,,,,,,,,,,
4,1,6,100,59.99540785,,,,,,,,,,,
4,1,7,100,49.3197245,,,,,,,,,,,
4,1,8,100,64.02149791,,,,,,,,,,,
4,1,9,100,64.19077141,,,,,,,,,,,
,,,100,58.58691193,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
4,2,0,100,60.83056782,,,,,,,,,,,
4,2,1,100,61.8139026,,,,,,,,,,,
4,2,2,100,63.28938246,,,,,,,,,,,
4,2,3,100,56.90773924,,,,,,,,,,,
4,2,4,100,64.20489143,,,,,,,,,,,
4,2,5,100,64.52298094,,,,,,,,,,,
4,2,6,100,59.69094624,,,,,,,,,,,
4,2,7,100,52.40210877,,,,,,,,,,,
4,2,8,100,60.30752179,,,,,,,,,,,
4,2,9,100,57.66684791,,,,,,,,,,,
,,,100,60.16368892,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
4,4,0,100,57.74531965,,,,,,,,,,,
4,4,1,100,55.7847474,,,,,,,,,,,
4,4,2,100,58.22406714,,,,,,,,,,,
4,4,3,100,56.63523168,,,,,,,,,,,
4,4,4,100,61.41255043,,,,,,,,,,,
4,4,5,100,59.07982928,,,,,,,,,,,
4,4,6,100,60.66458435,,,,,,,,,,,
4,4,7,100,59.18736567,,,,,,,,,,,
4,4,8,100,54.0667653,,,,,,,,,,,
4,4,9,100,60.19197365,,,,,,,,,,,
,,,100,58.29924345,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
4,10,0,100,59.41706605,,,,,,,,,,,
4,10,1,100,61.06192715,,,,,,,,,,,
4,10,2,100,57.57326234,,,,,,,,,,,
4,10,3,100,60.77268607,,,,,,,,,,,
4,10,4,100,61.77278885,,,,,,,,,,,
4,10,5,100,59.75561318,,,,,,,,,,,
4,10,6,100,58.78733187,,,,,,,,,,,
4,10,7,100,61.35122576,,,,,,,,,,,
4,10,8,100,62.28036656,,,,,,,,,,,
4,10,9,100,57.30460788,,,,,,,,,,,
,,,100,60.00768757,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
10,1,0,100,63.97043074,,,,,,,,,,,
10,1,1,100,79.16248136,,,,,,,,,,,
10,1,2,100,63.29656462,,,,,,,,,,,
10,1,3,100,62.19402765,,,,,,,,,,,
10,1,4,100,60.47143004,,,,,,,,,,,
10,1,5,100,73.03784003,,,,,,,,,,,
